,Geo_NAME,Total Population,Population Density (Per Sq. Mile),Area (Land),15 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Median Gross Rent,White Alone (Number of people),Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino,Hispanic or Latino,Renter-Occupied Housing Units,Number of units Less than $300 (monthly),$300 to $499,$500 to $799,$800 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or More",No Cash Rent,Total,No Health Insurance Coverage,With Health Insurance Coverage,Public Health Coverage,Private Health Insurance,GEOID,TRACTCE,COUNTYFP,NAME,NAMELSAD,INTPTLAT,INTPTLON
72,"Census Tract 4069, Alameda County, California",3989,11832.71,0.337116233743168,58,178,208,116,26,61,110,0,0,1410.0,1784,793,36,752,21,217,386,3435,554,757,8,102,37,24,241,225,52,15,19,34,3989,261,3728,1094,3017,6001406900,406900,1,4069.0,Census Tract 4069,37.7932754,-122.19037890000001
73,"Census Tract 4070, Alameda County, California",5902,17714.07,0.333181466477837,33,171,279,359,65,60,116,1,0,1259.0,1298,1108,22,1997,0,1098,379,4118,1784,1084,0,81,186,134,407,254,22,0,0,0,5772,1123,4649,2066,2833,6001407000,407000,1,4070.0,Census Tract 4070,37.787945799999996,-122.20249009999998
74,"Census Tract 4071.01, Alameda County, California",3538,24709.92,0.143181358369228,72,152,151,86,28,13,134,25,0,1024.0,1164,508,18,851,0,825,172,1858,1680,661,20,34,70,165,222,60,43,0,0,47,3538,728,2810,1621,1451,6001407101,407101,1,4071.01,Census Tract 4071.01,37.7831287,-122.2143966
75,"Census Tract 4071.02, Alameda County, California",4296,16836.45,0.255160641670927,14,146,194,115,77,65,66,0,0,1130.0,1736,867,45,724,154,589,181,2247,2049,677,56,25,46,125,266,123,11,0,25,0,4280,739,3541,1871,2030,6001407102,407102,1,4071.02,Census Tract 4071.02,37.7807761,-122.2102385
76,"Census Tract 4072, Alameda County, California",6616,23963.16,0.27609046837282597,99,365,395,285,73,40,36,87,46,1013.0,2639,687,160,957,19,1932,222,2066,4550,1426,70,82,190,340,538,160,7,10,0,29,6556,1983,4573,2903,2099,6001407200,407200,1,4072.0,Census Tract 4072,37.7777848,-122.21928190000001
77,"Census Tract 4073, Alameda County, California",2501,2732.091,0.9154162104225971,12,120,144,167,45,24,8,10,0,1503.0,1180,266,0,361,18,547,129,1159,1342,530,0,0,44,80,140,184,35,0,47,0,2501,534,1967,870,1223,6001407300,407300,1,4073.0,Census Tract 4073,37.762178600000006,-122.2109235
78,"Census Tract 4074, Alameda County, California",4452,22543.17,0.197487787588205,16,315,164,151,80,37,51,12,0,1064.0,1048,761,6,509,0,1912,216,1486,2966,826,43,11,103,183,342,83,16,0,0,45,4452,733,3719,1846,2013,6001407400,407400,1,4074.0,Census Tract 4074,37.7710407,-122.20674790000001
79,"Census Tract 4075, Alameda County, California",4201,22002.62,0.19093177265686198,137,270,199,169,53,19,61,6,10,949.0,1100,1502,45,104,0,1120,330,2147,2054,924,21,58,128,301,243,129,0,0,0,44,4139,841,3298,2096,1448,6001407500,407500,1,4075.0,Census Tract 4075,37.769515000000006,-122.19760910000001
80,"Census Tract 4076, Alameda County, California",6398,16202.75,0.39487132758916293,36,292,191,242,80,72,70,13,0,952.0,1315,2690,0,854,25,934,580,4583,1815,996,150,23,162,145,150,212,82,9,0,63,6393,722,5671,2571,3588,6001407600,407600,1,4076.0,Census Tract 4076,37.7775293,-122.20319920000001
81,"Census Tract 4077, Alameda County, California",4323,12187.77,0.354699712894423,0,55,202,68,93,61,26,0,0,2016.0,1596,2093,9,186,30,137,272,3775,548,505,0,0,6,105,57,64,156,67,19,31,4318,278,4040,1626,3048,6001407700,407700,1,4077.0,Census Tract 4077,37.776522799999995,-122.19319650000001
82,"Census Tract 4078, Alameda County, California",2719,5703.59,0.47671726664370595,14,43,73,36,20,18,27,5,17,1048.0,945,831,0,487,0,184,272,2271,448,253,5,20,61,20,75,19,16,16,0,21,2719,196,2523,541,2215,6001407800,407800,1,4078.0,Census Tract 4078,37.781741700000005,-122.1866598
83,"Census Tract 4079, Alameda County, California",3077,7250.855,0.42436374222583295,10,57,103,35,44,9,10,0,0,1632.0,1461,563,0,513,42,153,345,2698,379,268,0,0,0,9,111,53,61,0,34,0,3072,226,2846,704,2424,6001407900,407900,1,4079.0,Census Tract 4079,37.7884273,-122.1847831
84,"Census Tract 4080, Alameda County, California",2739,3627.3779999999997,0.7550907571772529,0,44,31,12,8,5,0,16,21,3159.0,1452,455,13,515,6,140,158,2419,320,137,0,5,0,7,7,0,5,20,70,23,2739,144,2595,528,2386,6001408000,408000,1,4080.0,Census Tract 4080,37.8029607,-122.1828709
85,"Census Tract 4081, Alameda County, California",6266,1816.2089999999998,3.4500433978844702,15,118,60,201,18,52,13,13,0,1806.0,2559,1406,34,1430,0,343,494,5566,700,490,0,0,0,82,46,170,54,43,69,26,6266,144,6122,1435,5783,6001408100,408100,1,4081.0,Census Tract 4081,37.7853987,-122.15721090000002
86,"Census Tract 4082, Alameda County, California",4162,11953.81,0.34817342783055394,55,248,265,193,141,27,19,57,0,1199.0,1035,2149,96,185,61,288,348,3489,673,1005,9,34,6,161,515,161,40,58,12,9,4162,435,3727,1394,2791,6001408200,408200,1,4082.0,Census Tract 4082,37.7751005,-122.17557279999998
87,"Census Tract 4083, Alameda County, California",4939,8406.526,0.5875197105160329,0,138,217,102,57,95,38,13,0,1079.0,1238,2083,19,404,43,791,361,3906,1033,660,50,73,54,120,149,122,31,52,0,9,4939,653,4286,1661,3412,6001408300,408300,1,4083.0,Census Tract 4083,37.7710979,-122.16451670000001
88,"Census Tract 4084, Alameda County, California",3129,14934.03,0.20952143407614202,34,200,108,161,41,39,38,45,0,1222.0,964,1220,31,0,6,827,81,1709,1420,666,14,34,29,75,314,152,38,0,0,10,3124,375,2749,1605,1422,6001408400,408400,1,4084.0,Census Tract 4084,37.7646056,-122.1709595
89,"Census Tract 4085, Alameda County, California",5747,17903.99,0.32098990420032797,35,311,236,254,139,63,49,0,11,1291.0,714,1813,84,98,51,2667,320,2243,3504,1098,10,0,103,164,435,329,51,6,0,0,5739,1136,4603,2560,2507,6001408500,408500,1,4085.0,Census Tract 4085,37.760417600000004,-122.1785112
90,"Census Tract 4086, Alameda County, California",6292,15352.91,0.40982467872438,102,363,174,198,103,106,28,46,0,1142.0,1594,2025,70,213,0,1924,466,2775,3517,1120,17,94,149,192,374,172,89,24,0,9,6277,1216,5061,2991,2504,6001408600,408600,1,4086.0,Census Tract 4086,37.7661975,-122.182303
91,"Census Tract 4087, Alameda County, California",7758,17771.89,0.43653213837284205,37,409,481,280,116,60,31,108,21,1272.0,2040,3348,0,119,0,1576,675,3903,3855,1543,0,37,167,183,504,510,76,33,0,33,7753,665,7088,4003,3935,6001408700,408700,1,4087.0,Census Tract 4087,37.76886079999999,-122.18894590000001
92,"Census Tract 4088, Alameda County, California",6348,13651.53,0.46500292665448606,116,416,335,200,204,124,120,67,25,769.0,1061,1900,33,338,245,2475,296,2887,3461,1607,322,223,265,143,358,265,8,0,0,23,6348,1261,5087,3628,2016,6001408800,408800,1,4088.0,Census Tract 4088,37.7588039,-122.1969422
93,"Census Tract 4089, Alameda County, California",3105,10022.25,0.309810701825646,34,127,212,119,44,16,28,42,42,1095.0,963,862,16,130,25,973,136,1226,1879,664,85,67,56,62,281,93,20,0,0,0,3105,744,2361,1558,1017,6001408900,408900,1,4089.0,Census Tract 4089,37.7541816,-122.1887803
94,"Census Tract 4090, Alameda County, California",3752,574.0598,6.53590518566109,19,187,115,113,46,12,23,11,7,1442.0,948,1310,62,149,51,1070,162,1755,1997,533,24,10,11,45,191,212,21,0,0,19,3752,514,3238,1562,2049,6001409000,409000,1,4090.0,Census Tract 4090,37.7296943,-122.2161623
95,"Census Tract 4091, Alameda County, California",2414,12745.35,0.189402421941723,0,36,85,73,28,1,13,4,0,1550.0,425,1019,0,115,164,458,233,1444,970,240,15,7,23,0,65,100,30,0,0,0,2414,327,2087,1258,960,6001409100,409100,1,4091.0,Census Tract 4091,37.7323419,-122.1834828
96,"Census Tract 4092, Alameda County, California",3583,12946.33,0.276758039033385,18,106,125,110,37,44,23,0,0,1301.0,498,1279,135,238,0,1113,320,1879,1704,463,0,0,45,80,183,121,23,0,0,11,3579,519,3060,1407,2002,6001409200,409200,1,4092.0,Census Tract 4092,37.729083,-122.1778389
97,"Census Tract 4093, Alameda County, California",4986,11998.44,0.415554048899068,128,250,136,183,46,61,38,13,21,1201.0,1193,1486,82,89,14,1901,221,1992,2994,876,48,25,69,85,507,116,19,7,0,0,4970,790,4180,2330,2154,6001409300,409300,1,4093.0,Census Tract 4093,37.737846600000005,-122.17335990000002
98,"Census Tract 4094, Alameda County, California",4888,10098.7,0.48402270589670704,17,126,402,100,46,16,49,0,16,1301.0,1333,1240,0,504,6,1702,103,2028,2860,772,19,36,15,158,238,159,97,0,0,50,4869,856,4013,2452,1735,6001409400,409400,1,4094.0,Census Tract 4094,37.744613,-122.18036229999998
99,"Census Tract 4095, Alameda County, California",4348,13460.56,0.32301771282338,21,210,294,129,90,16,30,18,0,1134.0,960,1316,20,85,0,1785,182,1708,2640,808,32,39,128,89,316,145,22,7,0,30,4348,898,3450,1993,1734,6001409500,409500,1,4095.0,Census Tract 4095,37.7504463,-122.1837659
100,"Census Tract 4096, Alameda County, California",4843,16780.84,0.288602881557752,24,257,253,197,87,8,12,42,11,1138.0,1118,1305,13,219,0,2092,96,1752,3091,891,17,46,80,156,368,191,17,8,0,8,4838,977,3861,2315,1873,6001409600,409600,1,4096.0,Census Tract 4096,37.7532669,-122.1726197
101,"Census Tract 4097, Alameda County, California",5493,17535.72,0.313246238978713,26,248,248,203,96,64,69,9,9,1290.0,1338,2223,34,202,26,1335,335,2717,2776,972,0,15,115,195,322,274,29,5,0,17,5493,1015,4478,2542,2267,6001409700,409700,1,4097.0,Census Tract 4097,37.756418700000005,-122.1658929
102,"Census Tract 4098, Alameda County, California",3220,4659.022,0.6911321596856821,11,136,158,139,24,64,39,33,0,986.0,398,1833,1,366,0,274,348,2729,491,604,86,24,73,100,143,49,45,43,0,41,3215,385,2830,1207,2083,6001409800,409800,1,4098.0,Census Tract 4098,37.760361100000004,-122.15576370000001
103,"Census Tract 4099, Alameda County, California",3449,2061.8070000000002,1.67280466164322,0,37,54,9,12,43,0,15,12,1446.0,1009,1619,12,295,0,174,340,2941,508,182,10,0,0,9,67,0,17,38,14,27,3431,220,3211,1155,2697,6001409900,409900,1,4099.0,Census Tract 4099,37.7619727,-122.135825
104,"Census Tract 4100, Alameda County, California",3224,1272.445,2.5337047893658196,0,23,13,0,0,0,33,0,0,1674.0,1288,1428,0,150,0,12,346,3019,205,69,0,0,0,0,23,33,13,0,0,0,3224,183,3041,1155,2738,6001410000,410000,1,4100.0,Census Tract 4100,37.7447566,-122.1332163
105,"Census Tract 4101, Alameda County, California",2734,9026.891,0.302872831843236,0,137,86,79,16,75,28,6,0,1019.0,549,1721,0,84,0,53,327,2263,471,427,40,19,29,114,107,96,11,0,0,11,2734,388,2346,1044,1638,6001410100,410100,1,4101.0,Census Tract 4101,37.7478641,-122.1535294
106,"Census Tract 4102, Alameda County, California",3374,14916.27,0.226196028707469,0,119,120,259,47,28,45,37,0,1062.0,693,1591,0,124,51,798,117,2070,1304,655,40,28,30,202,238,34,61,22,0,0,3374,413,2961,1562,1837,6001410200,410200,1,4102.0,Census Tract 4102,37.745306299999996,-122.15717420000001
107,"Census Tract 4103, Alameda County, California",3534,15826.66,0.22329408476023802,32,200,133,132,38,40,47,0,0,1216.0,900,857,38,54,124,1371,190,1250,2284,622,17,14,59,74,256,145,31,16,0,10,3534,665,2869,1585,1463,6001410300,410300,1,4103.0,Census Tract 4103,37.746679799999995,-122.16614070000001
108,"Census Tract 4104, Alameda County, California",4501,16497.81,0.272824043972405,0,165,124,136,28,11,40,12,0,1414.0,1222,1813,0,374,9,897,186,2546,1955,516,33,13,17,12,216,178,47,0,0,0,4496,567,3929,1588,2617,6001410400,410400,1,4104.0,Census Tract 4104,37.7408161,-122.16217409999999
109,"Census Tract 4105, Alameda County, California",2303,8233.181999999999,0.279721759328615,15,316,125,139,103,46,79,36,16,599.0,192,1470,0,427,15,102,97,2113,190,875,174,155,183,89,169,93,4,0,0,8,2303,308,1995,1289,816,6001410500,410500,1,4105.0,Census Tract 4105,37.810015899999996,-122.2889571
110,"Census Tract 4201, Alameda County, California",2432,11401.13,0.213312185230202,6,61,112,61,24,33,4,5,0,2065.0,1664,63,18,433,0,51,203,2262,170,306,0,5,0,12,75,47,58,65,31,13,2432,101,2331,512,2094,6001420100,420100,1,4201.0,Census Tract 4201,37.8947731,-122.29102140000002
111,"Census Tract 4202, Alameda County, California",3334,18642.74,0.17883634982092603,16,148,185,182,77,29,56,19,9,1561.0,1791,218,8,821,46,159,291,2912,422,721,0,0,0,15,302,188,119,30,26,41,3334,222,3112,659,2685,6001420200,420200,1,4202.0,Census Tract 4202,37.8944657,-122.2974678
112,"Census Tract 4203, Alameda County, California",4690,9332.867,0.50252510822444,24,210,242,255,70,123,48,22,0,1542.0,1912,241,19,1710,75,359,374,4198,492,994,19,0,11,23,396,316,148,30,8,43,4670,202,4468,765,3981,6001420300,420300,1,4203.0,Census Tract 4203,37.8906499,-122.31811640000001
113,"Census Tract 4204, Alameda County, California",3301,7712.95,0.427981519605496,111,675,316,34,12,29,0,0,0,1700.0,1277,58,130,1195,19,158,464,2453,848,1177,0,0,0,18,219,879,61,0,0,0,3282,154,3128,894,2469,6001420400,420400,1,4204.0,Census Tract 4204,37.886211100000004,-122.31416370000001
114,"Census Tract 4205, Alameda County, California",2502,15566.39,0.16073086052908403,26,96,131,160,13,0,45,9,0,1640.0,1406,154,7,501,0,154,280,2269,233,480,6,0,21,12,153,157,97,21,5,8,2479,126,2353,590,1965,6001420500,420500,1,4205.0,Census Tract 4205,37.8867059,-122.2950048
115,"Census Tract 4206, Alameda County, California",3161,10370.52,0.30480643153559,29,49,53,71,10,0,57,0,14,1491.0,2292,29,34,463,16,53,274,2820,341,283,0,0,21,32,86,38,61,34,0,11,3161,83,3078,585,2826,6001420600,420600,1,4206.0,Census Tract 4206,37.8870335,-122.2870622
116,"Census Tract 4211, Alameda County, California",2123,7375.548000000001,0.28784303247737103,0,11,17,22,0,12,0,5,0,2816.0,1711,6,0,268,0,43,95,2020,103,67,0,0,0,0,11,0,8,19,24,5,2123,20,2103,761,1968,6001421100,421100,1,4211.0,Census Tract 4211,37.899434,-122.26619280000001
117,"Census Tract 4212, Alameda County, California",3643,6967.727,0.522839101957229,38,19,33,70,0,0,44,8,0,1500.0,3090,20,36,276,0,19,202,3355,288,212,0,0,16,26,32,20,0,25,29,64,3643,86,3557,1065,3271,6001421200,421200,1,4212.0,Census Tract 4212,37.8975481,-122.2752271
118,"Census Tract 4213, Alameda County, California",3942,9225.851,0.42727765534048795,9,50,109,108,35,18,41,8,20,1628.0,3167,156,0,352,11,52,204,3827,115,398,0,0,0,9,142,113,36,0,60,38,3942,233,3709,1069,3452,6001421300,421300,1,4213.0,Census Tract 4213,37.8911093,-122.28136629999999
119,"Census Tract 4214, Alameda County, California",1690,9219.175,0.18331359064211897,11,29,13,18,5,5,8,9,5,1808.0,1350,55,3,176,0,30,76,1569,121,103,0,0,5,5,21,26,9,5,23,9,1690,46,1644,484,1549,6001421400,421400,1,4214.0,Census Tract 4214,37.888340899999996,-122.270922
120,"Census Tract 4215, Alameda County, California",3827,6231.225,0.614165007714321,5,29,68,46,10,50,28,17,17,2503.0,3191,102,0,276,0,42,216,3667,160,270,0,0,0,0,47,64,11,91,32,25,3827,76,3751,1049,3474,6001421500,421500,1,4215.0,Census Tract 4215,37.8918549,-122.25917779999999
121,"Census Tract 4216, Alameda County, California",3510,6817.439,0.51485605338712,25,148,63,55,29,0,27,26,7,1764.0,2711,58,0,615,26,19,81,3326,184,380,0,0,26,22,72,124,27,17,83,9,3510,173,3337,983,3131,6001421600,421600,1,4216.0,Census Tract 4216,37.883939500000004,-122.2559781
122,"Census Tract 4217, Alameda County, California",3611,16298.52,0.221553922257555,91,330,126,109,91,95,110,10,35,1521.0,2584,21,14,654,0,109,229,3251,360,997,35,35,116,57,241,343,109,61,0,0,3598,214,3384,798,3067,6001421700,421700,1,4217.0,Census Tract 4217,37.8819398,-122.27018419999999
123,"Census Tract 4218, Alameda County, California",2130,10438.82,0.20404611913259801,8,80,62,66,5,14,48,10,7,1691.0,1630,56,15,321,0,2,106,2048,82,300,0,0,15,23,62,72,32,31,20,45,2130,32,2098,515,1900,6001421800,421800,1,4218.0,Census Tract 4218,37.8802854,-122.2782006
124,"Census Tract 4219, Alameda County, California",3878,11745.95,0.330156355936784,43,111,131,136,82,19,48,0,11,1586.0,2686,230,19,539,12,88,304,3707,171,581,42,0,42,0,159,128,91,8,60,51,3873,138,3735,886,3375,6001421900,421900,1,4219.0,Census Tract 4219,37.8794875,-122.289635
125,"Census Tract 4220, Alameda County, California",2069,1191.28,1.73678758357182,11,330,107,71,59,45,35,33,11,1637.0,1356,337,0,130,0,29,217,1785,284,702,68,49,33,80,72,141,130,70,38,21,2063,97,1966,771,1288,6001422000,422000,1,4220.0,Census Tract 4220,37.857805400000004,-122.30124779999998
126,"Census Tract 4221, Alameda County, California",2605,12223.94,0.21310639277093202,28,150,121,102,12,14,96,0,0,1372.0,1482,412,74,312,0,187,138,2144,461,523,0,50,81,29,151,159,34,4,15,0,2587,142,2445,796,1951,6001422100,422100,1,4221.0,Census Tract 4221,37.8733067,-122.29653359999999
127,"Census Tract 4222, Alameda County, California",3560,13659.57,0.26062321524269605,173,310,167,109,89,57,41,11,0,1408.0,2332,270,8,487,34,134,295,3175,385,957,0,11,56,179,289,187,119,33,61,22,3560,184,3376,579,3002,6001422200,422200,1,4222.0,Census Tract 4222,37.8728828,-122.28781709999998
128,"Census Tract 4223, Alameda County, California",3853,17818.55,0.21623536479705702,208,395,176,101,71,97,110,18,39,1531.0,2479,199,0,664,0,147,364,3474,379,1215,38,38,80,88,343,264,128,135,93,8,3853,165,3688,863,3286,6001422300,422300,1,4223.0,Census Tract 4223,37.8740722,-122.2779152
129,"Census Tract 4224, Alameda County, California",4185,22791.81,0.18361861136036198,617,550,162,169,132,79,71,0,86,1499.0,2432,56,0,1334,0,131,232,3840,345,1866,61,30,85,111,647,600,149,76,107,0,4185,116,4069,515,3746,6001422400,422400,1,4224.0,Census Tract 4224,37.8752396,-122.2695878
130,"Census Tract 4225, Alameda County, California",4135,23264.8,0.177736344724377,328,395,192,113,41,54,15,16,17,1523.0,2496,92,11,1087,4,130,315,3693,442,1171,8,0,73,95,386,331,161,56,45,16,4135,180,3955,544,3616,6001422500,422500,1,4225.0,Census Tract 4225,37.877313,-122.2603183
131,"Census Tract 4226, Alameda County, California",1440,2194.792,0.656098792735719,0,0,0,0,0,0,0,0,0,,698,37,0,580,0,55,70,1266,174,0,0,0,0,0,0,0,0,0,0,0,1440,75,1365,118,1289,6001422600,422600,1,4226.0,Census Tract 4226,37.8737724,-122.254627
132,"Census Tract 4227, Alameda County, California",4895,36420.75,0.134401394909938,490,255,50,36,40,7,0,0,0,1416.0,2916,97,12,1213,0,322,335,4039,856,878,7,0,112,94,279,211,63,55,48,9,4895,328,4567,511,4171,6001422700,422700,1,4227.0,Census Tract 4227,37.867923499999996,-122.24949099999999
133,"Census Tract 4228, Alameda County, California",8648,54820.87,0.157750151738155,765,336,84,69,42,29,31,0,0,1284.0,3251,301,66,3932,7,519,572,7494,1154,1356,31,0,171,130,676,251,73,8,11,5,8648,448,8200,943,7601,6001422800,422800,1,4228.0,Census Tract 4228,37.8667875,-122.259979
134,"Census Tract 4229, Alameda County, California",5024,23906.91,0.21014846400832699,744,523,251,92,88,25,152,38,0,1389.0,2079,658,0,1972,0,100,215,4771,253,1913,100,15,234,104,598,414,213,79,156,0,4996,276,4720,1068,4022,6001422900,422900,1,4229.0,Census Tract 4229,37.867889899999994,-122.269247
135,"Census Tract 4230, Alameda County, California",4341,15399.81,0.281886634223788,80,422,204,203,16,39,35,16,89,1693.0,3043,157,38,736,0,65,302,3813,528,1104,44,56,64,17,268,267,226,140,22,0,4341,351,3990,966,3585,6001423000,423000,1,4230.0,Census Tract 4230,37.8668441,-122.27713519999999
136,"Census Tract 4231, Alameda County, California",4307,14900.2,0.289056551613367,181,284,181,133,95,103,171,100,69,1296.0,2186,568,5,875,0,195,478,3861,446,1317,144,33,154,74,389,213,175,41,31,63,4266,297,3969,1002,3471,6001423100,423100,1,4231.0,Census Tract 4231,37.865807000000004,-122.28631969999999
137,"Census Tract 4232, Alameda County, California",2932,16624.8,0.176362979287935,95,152,269,98,46,69,9,32,0,1375.0,1362,524,25,196,166,304,355,2123,809,770,0,6,87,185,148,164,74,59,20,27,2919,417,2502,725,1909,6001423200,423200,1,4232.0,Census Tract 4232,37.8645164,-122.29368570000001
138,"Census Tract 4233, Alameda County, California",4129,14717.44,0.28055149290267,27,267,164,29,29,122,121,18,21,1295.0,1943,1465,59,358,16,107,181,3571,558,798,45,47,131,46,210,96,100,45,46,32,4129,272,3857,1298,2995,6001423300,423300,1,4233.0,Census Tract 4233,37.857328100000004,-122.28420159999999
139,"Census Tract 4234, Alameda County, California",5242,17971.86,0.29167818538155393,123,369,195,170,53,0,119,63,0,1365.0,2939,730,4,739,0,165,665,4391,851,1092,134,39,87,77,218,232,113,54,65,73,5242,409,4833,1382,3918,6001423400,423400,1,4234.0,Census Tract 4234,37.8583735,-122.275884
140,"Census Tract 4235, Alameda County, California",3262,13289.22,0.245462141137333,144,194,83,210,106,64,122,112,25,1124.0,1943,481,27,416,0,100,295,2752,510,1060,136,66,147,105,220,250,47,52,21,16,3138,282,2856,985,2122,6001423500,423500,1,4235.0,Census Tract 4235,37.8593612,-122.268048
141,"Census Tract 4236.01, Alameda County, California",2752,13617.04,0.20209977806847,120,235,121,47,10,82,35,0,0,1573.0,2122,101,12,266,0,115,136,2462,290,650,9,0,93,33,158,193,100,0,56,8,2716,115,2601,547,2274,6001423601,423601,1,4236.01,Census Tract 4236.01,37.8588898,-122.258719
142,"Census Tract 4236.02, Alameda County, California",5455,34924.14,0.15619570438164201,1083,472,136,35,72,73,69,23,0,1384.0,2750,333,71,1854,36,63,348,4837,618,1963,23,0,171,264,693,443,284,85,0,0,5380,273,5107,479,4857,6001423602,423602,1,4236.02,Census Tract 4236.02,37.8631828,-122.25926840000001
143,"Census Tract 4237, Alameda County, California",4110,14608.2,0.281348793894026,163,219,52,85,19,60,54,52,71,1272.0,2851,66,45,875,0,79,194,3797,313,775,50,81,46,93,196,210,38,21,20,20,4110,147,3963,835,3581,6001423700,423700,1,4237.0,Census Tract 4237,37.8618284,-122.24900929999998
144,"Census Tract 4238, Alameda County, California",3067,7406.845,0.414076435875379,0,52,81,33,10,61,8,36,0,2093.0,2587,10,0,383,8,4,75,2778,289,281,8,0,16,27,63,0,115,10,32,10,3067,46,3021,946,2652,6001423800,423800,1,4238.0,Census Tract 4238,37.8547521,-122.24401709999998
145,"Census Tract 4239.01, Alameda County, California",1938,12687.61,0.152747425856799,20,219,113,90,31,23,30,5,0,1185.0,1263,333,0,158,0,69,115,1660,278,531,0,0,140,70,141,72,32,34,20,22,1938,143,1795,359,1601,6001423901,423901,1,4239.01,Census Tract 4239.01,37.8522414,-122.26756740000002
146,"Census Tract 4239.02, Alameda County, California",1564,13099.4,0.119394761674571,10,173,115,84,22,47,18,26,0,1697.0,1225,41,6,160,0,40,92,1420,144,495,0,12,42,63,52,189,52,20,57,8,1534,30,1504,265,1413,6001423902,423902,1,4239.02,Census Tract 4239.02,37.8547567,-122.2573858
147,"Census Tract 4240.01, Alameda County, California",4267,21775.07,0.195958050770892,82,457,257,114,66,52,55,20,9,1380.0,1901,1249,14,388,36,464,215,3610,657,1112,67,29,140,80,320,311,72,50,43,0,4256,489,3767,1209,2749,6001424001,424001,1,4240.01,Census Tract 4240.01,37.8503694,-122.27462279999999
148,"Census Tract 4240.02, Alameda County, California",2451,19400.15,0.126339195393955,13,125,91,166,31,30,58,11,5,1211.0,978,782,26,154,0,244,267,1872,579,530,36,37,56,22,172,132,9,22,12,32,2446,300,2146,901,1400,6001424002,424002,1,4240.02,Census Tract 4240.02,37.8504771,-122.2815375
149,"Census Tract 4251.01, Alameda County, California",1610,6954.170999999999,0.231515744474492,22,218,98,82,9,75,83,10,0,1530.0,968,137,6,401,8,0,90,1567,43,597,0,0,27,9,229,278,13,7,0,34,1610,73,1537,558,1238,6001425101,425101,1,4251.01,Census Tract 4251.01,37.838253200000004,-122.3054128
150,"Census Tract 4251.02, Alameda County, California",3080,10689.95,0.288121026043364,200,524,295,80,50,29,43,0,0,2151.0,1401,239,4,1150,40,44,202,2847,233,1221,0,9,0,52,92,340,352,168,186,22,3080,241,2839,352,2623,6001425102,425102,1,4251.02,Census Tract 4251.02,37.8398713,-122.29463359999998
151,"Census Tract 4251.03, Alameda County, California",3060,8978.71,0.34080621222955504,77,335,227,117,19,50,16,10,0,2056.0,1371,374,114,745,0,136,320,2681,379,851,0,0,0,45,213,145,156,167,115,10,3043,244,2799,372,2516,6001425103,425103,1,4251.03,Census Tract 4251.03,37.84254910000001,-122.28980959999998
152,"Census Tract 4251.04, Alameda County, California",3361,7994.326,0.420423183427877,12,339,332,177,22,49,145,74,154,1328.0,1377,904,30,511,0,255,284,2771,590,1304,110,48,110,122,411,180,209,58,41,15,3353,246,3107,1052,2446,6001425104,425104,1,4251.04,Census Tract 4251.04,37.8326584,-122.2833246
153,"Census Tract 4261, Alameda County, California",6293,5354.478,1.17527803217621,38,26,38,28,0,39,0,13,0,2824.0,4654,68,13,1156,0,52,350,6049,244,182,0,0,0,0,27,12,0,51,54,38,6293,60,6233,1320,5830,6001426100,426100,1,4261.0,Census Tract 4261,37.8216141,-122.2252882
154,"Census Tract 4262, Alameda County, California",4908,9359.121,0.5244082211963921,5,55,54,102,6,17,21,6,0,2208.0,3422,74,6,862,6,11,527,4520,388,266,0,0,0,6,59,51,24,19,93,14,4908,114,4794,841,4568,6001426200,426200,1,4262.0,Census Tract 4262,37.824626200000004,-122.24064109999999
155,"Census Tract 4271, Alameda County, California",3559,8989.032,0.39592693093558706,0,69,93,87,44,24,45,0,0,1677.0,2519,200,11,542,39,41,207,3301,258,362,0,0,15,29,100,93,69,40,8,8,3415,165,3250,807,2961,6001427100,427100,1,4271.0,Census Tract 4271,37.764909,-122.22996140000001
156,"Census Tract 4272, Alameda County, California",4212,8204.332,0.513387320713455,6,254,240,283,75,34,55,46,0,1337.0,2210,213,48,805,170,411,355,3217,995,993,0,65,48,67,455,295,24,0,0,39,4137,396,3741,1313,2827,6001427200,427200,1,4272.0,Census Tract 4272,37.780827,-122.248255
157,"Census Tract 4273, Alameda County, California",5418,7181.892,0.75439731767097,22,208,209,230,64,53,118,53,17,1265.0,2189,446,46,2055,23,220,439,4672,746,974,27,63,90,83,295,108,219,50,27,12,5393,758,4635,1479,3666,6001427300,427300,1,4273.0,Census Tract 4273,37.7810489,-122.26627749999999
158,"Census Tract 4276, Alameda County, California",5757,25581.68,0.225043899817296,240,264,393,303,134,77,59,54,19,1575.0,1578,1391,0,2048,75,158,507,5146,611,1543,92,16,33,49,512,461,291,70,19,0,5724,754,4970,2349,3092,6001427600,427600,1,4276.0,Census Tract 4276,37.7778323,-122.2835979
