,Geo_NAME,Total Population,Population Density (Per Sq. Mile),Area (Land),15 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Median Gross Rent,White Alone (Number of people),Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino,Hispanic or Latino,Renter-Occupied Housing Units,Number of units Less than $300 (monthly),$300 to $499,$500 to $799,$800 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or More",No Cash Rent,Total,No Health Insurance Coverage,With Health Insurance Coverage,Public Health Coverage,Private Health Insurance,GEOID,TRACTCE,COUNTYFP,NAME,NAMELSAD,INTPTLAT,INTPTLON
18,"Census Tract 4022, Alameda County, California",2406,8751.127,0.274936022869604,24,152,137,86,12,29,57,34,8,956.0,972,768,17,341,37,168,103,1861,545,539,45,58,89,98,72,125,31,9,12,0,2406,376,2030,1029,1150,6001402200,402200,1,4022.0,Census Tract 4022,37.8063521,-122.29630729999998
19,"Census Tract 4024, Alameda County, California",2773,21306.69,0.130146935043715,0,318,159,117,31,40,176,80,37,840.0,684,1596,16,303,9,72,93,2536,237,958,163,139,106,193,182,102,37,0,0,36,2754,371,2383,1150,1527,6001402400,402400,1,4024.0,Census Tract 4024,37.812031,-122.28245690000001
20,"Census Tract 4025, Alameda County, California",1833,12990.55,0.141102584259078,61,199,141,100,4,36,46,0,15,746.0,300,1205,14,79,0,90,145,1480,353,602,202,54,53,50,186,49,8,0,0,0,1833,204,1629,1132,699,6001402500,402500,1,4025.0,Census Tract 4025,37.8057305,-122.28478030000001
21,"Census Tract 4026, Alameda County, California",1272,10332.59,0.123105589678408,15,123,88,59,32,50,80,81,25,801.0,272,327,2,598,0,41,32,1178,94,553,145,81,48,86,96,46,38,9,0,4,1272,168,1104,659,487,6001402600,402600,1,4026.0,Census Tract 4026,37.8042701,-122.2799551
22,"Census Tract 4027, Alameda County, California",1734,11260.82,0.15398526942982002,63,143,154,122,18,37,32,9,21,1072.0,634,628,33,175,0,120,144,1338,396,599,39,78,74,89,128,85,75,31,0,0,1734,223,1511,689,861,6001402700,402700,1,4027.0,Census Tract 4027,37.810387299999995,-122.276991
23,"Census Tract 4028, Alameda County, California",3798,24696.15,0.15378912952492402,118,458,329,325,169,214,327,136,89,771.0,1061,1603,36,802,0,76,220,3461,337,2165,432,282,379,237,164,175,203,201,47,45,3773,487,3286,1781,1634,6001402800,402800,1,4028.0,Census Tract 4028,37.808718,-122.2715001
24,"Census Tract 4029, Alameda County, California",1392,9201.818000000001,0.15127444605920998,25,250,137,92,49,43,119,65,68,886.0,369,286,46,534,0,80,77,1225,167,848,130,58,164,177,235,74,5,0,0,5,1392,254,1138,528,677,6001402900,402900,1,4029.0,Census Tract 4029,37.8071721,-122.2667847
25,"Census Tract 4030, Alameda County, California",3167,23276.48,0.13606008985369802,18,146,151,134,132,31,217,247,185,631.0,240,139,39,2607,69,46,27,3111,56,1261,189,322,123,114,245,184,24,0,0,60,3167,224,2943,1978,1218,6001403000,403000,1,4030.0,Census Tract 4030,37.800434100000004,-122.2707274
26,"Census Tract 4031, Alameda County, California",1721,12850.93,0.133920311599899,19,138,107,53,38,49,53,37,22,909.0,491,302,36,746,6,85,55,1550,171,516,3,99,112,73,33,95,44,28,25,4,1427,102,1325,601,877,6001403100,403100,1,4031.0,Census Tract 4031,37.802274100000005,-122.27550120000001
27,"Census Tract 4033, Alameda County, California",4159,11744.28,0.354129826084136,109,492,303,234,193,64,124,137,16,1414.0,978,401,19,2266,0,187,308,3843,316,1672,77,32,144,293,340,156,419,116,45,50,4142,429,3713,1734,2302,6001403300,403300,1,4033.0,Census Tract 4033,37.794430799999994,-122.26632439999999
