Lat,Lng
37.7844618,-122.2165017
37.6311721,-122.0963438
37.8160062,-122.2350852
37.8834549,-122.2999811
37.7924382,-122.2142161
37.7501082,-122.1628638
37.7928412,-122.2024936
37.8188527,-122.2829057
37.929203,-122.3213407
37.8617771,-122.2839392
37.7999909,-122.220904
37.8681685,-122.2640833
37.8096257,-122.2859598
37.9009522,-122.2663584
37.9349514,-122.3197712
37.7428174,-122.2474711
37.7038262,-122.1263005
37.6913357,-122.0935601
37.8038709,-122.2697415
37.8097063,-122.2475278
37.84964,-122.2658409
37.6639137,-122.087796
37.9170889,-122.2842063
37.7010994,-122.088956
37.7927161,-122.2381101
37.798573,-122.1926429
37.654651,-122.0698299
37.9736568,-122.3017796
37.7959456,-122.2536956
37.8038323,-122.2701931
37.8961649,-122.2604209
37.7940135,-122.2713119
37.8145579,-122.234959
37.8236388,-122.2809454
37.7321427,-122.1781526
37.8471991,-122.2521325
37.7449983,-122.2370817
37.759534,-122.254834
37.8524674,-122.2662239
37.6318094,-122.0903105
37.7154838,-122.1432613
37.753218,-122.1769011
37.679526,-122.081914
37.8220959,-122.2704737
37.7487926,-122.1618727
37.793439,-122.2188208
37.6845096,-122.082404
37.7046169,-122.1168689
37.9292646,-122.2990043
37.7532678,-122.2407823
37.9210399,-122.2890806
37.8157897,-122.2840182
37.7155128,-122.1428306
37.798959,-122.2569687
37.7874142,-122.229471
37.675626,-122.0820086
37.8245328,-122.2307581
37.8201768,-122.2821915
37.8903792,-122.29832
37.6949557,-122.1137006
37.8145943,-122.2328978
37.8973786,-122.276286
37.7768636,-122.2016251
37.7875015,-122.2385894
37.9495283,-122.3502477
37.876427,-122.2667221
37.734077,-122.2346562
37.6312124,-122.0772116
37.7858265,-122.2142096
37.8085852,-122.2685869
37.7758189,-122.1851458
37.757074,-122.25642
37.811737,-122.2418657
37.8147126,-122.259503
37.801156,-122.175037
37.8606217,-122.2916368
37.9458727,-122.3520292
37.9091661,-122.2754062
37.7710427,-122.2111861
37.6361404,-122.0621652
37.7073554,-122.0641691
37.7571558,-122.1478625
37.9917478,-122.3038451
37.8258446,-122.2325526
37.8374333,-122.2944896
37.9649442,-122.3149388
