06001410400,410400,001,4104,Census Tract 4104,+37.7408161,-122.1621741
06001420100,420100,001,4201,Census Tract 4201,+37.8947731,-122.2910214
06001420200,420200,001,4202,Census Tract 4202,+37.8944657,-122.2974678
06001420300,420300,001,4203,Census Tract 4203,+37.8906499,-122.3181164
06001420400,420400,001,4204,Census Tract 4204,+37.8862111,-122.3141637
06001420500,420500,001,4205,Census Tract 4205,+37.8867059,-122.2950048
06001421100,421100,001,4211,Census Tract 4211,+37.8994340,-122.2661928
06001421400,421400,001,4214,Census Tract 4214,+37.8883409,-122.2709220
06001421700,421700,001,4217,Census Tract 4217,+37.8819398,-122.2701842
06001421800,421800,001,4218,Census Tract 4218,+37.8802854,-122.2782006
06001421900,421900,001,4219,Census Tract 4219,+37.8794875,-122.2896350
06001420600,420600,001,4206,Census Tract 4206,+37.8870335,-122.2870622
06001407000,407000,001,4070,Census Tract 4070,+37.7879458,-122.2024901
06001407200,407200,001,4072,Census Tract 4072,+37.7777848,-122.2192819
06001407300,407300,001,4073,Census Tract 4073,+37.7621786,-122.2109235
06001407400,407400,001,4074,Census Tract 4074,+37.7710407,-122.2067479
06001407600,407600,001,4076,Census Tract 4076,+37.7775293,-122.2031992
06001407700,407700,001,4077,Census Tract 4077,+37.7765228,-122.1931965
06001407800,407800,001,4078,Census Tract 4078,+37.7817417,-122.1866598
06001423700,423700,001,4237,Census Tract 4237,+37.8618284,-122.2490093
06001423800,423800,001,4238,Census Tract 4238,+37.8547521,-122.2440171
06001423901,423901,001,4239.01,Census Tract 4239.01,+37.8522414,-122.2675674
06001427700,427700,001,4277,Census Tract 4277,+37.7681553,-122.2868948
06001427800,427800,001,4278,Census Tract 4278,+37.7714922,-122.2690581
06001424001,424001,001,4240.01,Census Tract 4240.01,+37.8503694,-122.2746228
06001428100,428100,001,4281,Census Tract 4281,+37.7589136,-122.2346068
06001428200,428200,001,4282,Census Tract 4282,+37.7533497,-122.2396803
06001428301,428301,001,4283.01,Census Tract 4283.01,+37.7344929,-122.2414385
06001428302,428302,001,4283.02,Census Tract 4283.02,+37.7439709,-122.2497790
06001428400,428400,001,4284,Census Tract 4284,+37.7564138,-122.2559068
06001430900,430900,001,4309,Census Tract 4309,+37.6982784,-122.0828322
06001431000,431000,001,4310,Census Tract 4310,+37.6929313,-122.0784575
06001432100,432100,001,4321,Census Tract 4321,+37.7360495,-122.1466048
06001428000,428000,001,4280,Census Tract 4280,+37.7666414,-122.2475404
06001428500,428500,001,4285,Census Tract 4285,+37.7601324,-122.2593887
06001428600,428600,001,4286,Census Tract 4286,+37.7662730,-122.2738461
06001430300,430300,001,4303,Census Tract 4303,+37.7172764,-122.0819576
06001430400,430400,001,4304,Census Tract 4304,+37.7212084,-122.1010957
06001430700,430700,001,4307,Census Tract 4307,+37.7060948,-122.0822254
06001422500,422500,001,4225,Census Tract 4225,+37.8773130,-122.2603183
06001422600,422600,001,4226,Census Tract 4226,+37.8737724,-122.2546270
06001422700,422700,001,4227,Census Tract 4227,+37.8679235,-122.2494910
06001422900,422900,001,4229,Census Tract 4229,+37.8678899,-122.2692470
06001423000,423000,001,4230,Census Tract 4230,+37.8668441,-122.2771352
06001423100,423100,001,4231,Census Tract 4231,+37.8658070,-122.2863197
06001424002,424002,001,4240.02,Census Tract 4240.02,+37.8504771,-122.2815375
06001426200,426200,001,4262,Census Tract 4262,+37.8246262,-122.2406411
06001427100,427100,001,4271,Census Tract 4271,+37.7649090,-122.2299614
06001427200,427200,001,4272,Census Tract 4272,+37.7808270,-122.2482550
06001427300,427300,001,4273,Census Tract 4273,+37.7810489,-122.2662775
06001423300,423300,001,4233,Census Tract 4233,+37.8573281,-122.2842016
06001423400,423400,001,4234,Census Tract 4234,+37.8583735,-122.2758840
06001423500,423500,001,4235,Census Tract 4235,+37.8593612,-122.2680480
06001423602,423602,001,4236.02,Census Tract 4236.02,+37.8631828,-122.2592684
06001427600,427600,001,4276,Census Tract 4276,+37.7778323,-122.2835979
06001433000,433000,001,4330,Census Tract 4330,+37.7158642,-122.1354706
06001433200,433200,001,4332,Census Tract 4332,+37.7017500,-122.1470770
06001433300,433300,001,4333,Census Tract 4333,+37.6985801,-122.1574574
06001433400,433400,001,4334,Census Tract 4334,+37.6845277,-122.1689572
06001433500,433500,001,4335,Census Tract 4335,+37.6845056,-122.1553171
06001433102,433102,001,4331.02,Census Tract 4331.02,+37.7021569,-122.1335021
06001440307,440307,001,4403.07,Census Tract 4403.07,+37.5911419,-122.0486870
06001433800,433800,001,4338,Census Tract 4338,+37.6988143,-122.1234820
06001440308,440308,001,4403.08,Census Tract 4403.08,+37.5893169,-122.0278170
06001441200,441200,001,4412,Census Tract 4412,+37.5780625,-121.9910071
06001441301,441301,001,4413.01,Census Tract 4413.01,+37.5717252,-122.0026581
06001441302,441302,001,4413.02,Census Tract 4413.02,+37.5693426,-122.0194346
06001440331,440331,001,4403.31,Census Tract 4403.31,+37.5982247,-122.0833404
06001433900,433900,001,4339,Census Tract 4339,+37.6992655,-122.1135392
06001434000,434000,001,4340,Census Tract 4340,+37.6923622,-122.1102954
06001435500,435500,001,4355,Census Tract 4355,+37.6809369,-122.0933300
06001435800,435800,001,4358,Census Tract 4358,+37.6793903,-122.1296212
06001435900,435900,001,4359,Census Tract 4359,+37.6724681,-122.1473050
06001436000,436000,001,4360,Census Tract 4360,+37.6691777,-122.1375217
06001436100,436100,001,4361,Census Tract 4361,+37.6717586,-122.1236192
06001436200,436200,001,4362,Census Tract 4362,+37.6685048,-122.1121200
06001436300,436300,001,4363,Census Tract 4363,+37.6662740,-122.0917199
06001436401,436401,001,4364.01,Census Tract 4364.01,+37.6715227,-122.0650918
06001436602,436602,001,4366.02,Census Tract 4366.02,+37.6518201,-122.0851944
06001436700,436700,001,4367,Census Tract 4367,+37.6619708,-122.1005196
06001436800,436800,001,4368,Census Tract 4368,+37.6535732,-122.0944503
06001436900,436900,001,4369,Census Tract 4369,+37.6603504,-122.1097205
06001437000,437000,001,4370,Census Tract 4370,+37.6471440,-122.1015751
06001437200,437200,001,4372,Census Tract 4372,+37.6431726,-122.1115983
06001437300,437300,001,4373,Census Tract 4373,+37.6362157,-122.0929895
06001437400,437400,001,4374,Census Tract 4374,+37.6428175,-122.0876396
06001437600,437600,001,4376,Census Tract 4376,+37.6353602,-122.0804834
06001437900,437900,001,4379,Census Tract 4379,+37.6428283,-122.0613135
06001438100,438100,001,4381,Census Tract 4381,+37.6181516,-122.0389490
06001438201,438201,001,4382.01,Census Tract 4382.01,+37.6262681,-122.0764388
06001438400,438400,001,4384,Census Tract 4384,+37.6184511,-122.0826040
06001437800,437800,001,4378,Census Tract 4378,+37.6431437,-122.0686970
06001440200,440200,001,4402,Census Tract 4402,+37.6003622,-122.0225189
06001440304,440304,001,4403.04,Census Tract 4403.04,+37.5868721,-122.0766157
06001432200,432200,001,4322,Census Tract 4322,+37.7330544,-122.1562452
06001432300,432300,001,4323,Census Tract 4323,+37.7308754,-122.1656501
06001440305,440305,001,4403.05,Census Tract 4403.05,+37.5773806,-122.0746719
06001432700,432700,001,4327,Census Tract 4327,+37.7270702,-122.1428437
06001432502,432502,001,4325.02,Census Tract 4325.02,+37.7234549,-122.1734789
06001433103,433103,001,4331.03,Census Tract 4331.03,+37.7093289,-122.1390589
06001441925,441925,001,4419.25,Census Tract 4419.25,+37.5499839,-121.9629690
06001441927,441927,001,4419.27,Census Tract 4419.27,+37.5465021,-121.9765770
06001404101,404101,001,4041.01,Census Tract 4041.01,+37.8300795,-122.2498160
06001405302,405302,001,4053.02,Census Tract 4053.02,+37.7985075,-122.2543138
06001405600,405600,001,4056,Census Tract 4056,+37.8008019,-122.2372726
06001406400,406400,001,4064,Census Tract 4064,+37.7968060,-122.2217201
06001405700,405700,001,4057,Census Tract 4057,+37.7982307,-122.2296737
06001405800,405800,001,4058,Census Tract 4058,+37.7939452,-122.2330985
06001444301,444301,001,4443.01,Census Tract 4443.01,+37.5365190,-122.0571016
06001404700,404700,001,4047,Census Tract 4047,+37.8133426,-122.2069935
06001404800,404800,001,4048,Census Tract 4048,+37.8055076,-122.2131962
06001405200,405200,001,4052,Census Tract 4052,+37.8052770,-122.2433878
06001405500,405500,001,4055,Census Tract 4055,+37.7982821,-122.2432790
06001450750,450750,001,4507.50,Census Tract 4507.50,+37.7054837,-121.8610693
06001451403,451403,001,4514.03,Census Tract 4514.03,+37.6912319,-121.7842461
06001405100,405100,001,4051,Census Tract 4051,+37.8114250,-122.2322365
06001404900,404900,001,4049,Census Tract 4049,+37.8041422,-122.2215059
06001405401,405401,001,4054.01,Census Tract 4054.01,+37.7965384,-122.2494562
06001451703,451703,001,4517.03,Census Tract 4517.03,+37.6672948,-121.8009991
06001990000,990000,001,9900,Census Tract 9900,+37.6836979,-122.2281492
06001442302,442302,001,4423.02,Census Tract 4423.02,+37.5362514,-121.9601205
06001406602,406602,001,4066.02,Census Tract 4066.02,+37.7964782,-122.2143072
06001407101,407101,001,4071.01,Census Tract 4071.01,+37.7831287,-122.2143966
06001407102,407102,001,4071.02,Census Tract 4071.02,+37.7807761,-122.2102385
06001432501,432501,001,4325.01,Census Tract 4325.01,+37.7167162,-122.1661481
06001406201,406201,001,4062.01,Census Tract 4062.01,+37.7850449,-122.2307360
06001406202,406202,001,4062.02,Census Tract 4062.02,+37.7819786,-122.2265557
06001406300,406300,001,4063,Census Tract 4063,+37.7892881,-122.2250125
